"Story","Title","Result","Date","Stability","Duration (s)"
"I as user of the UTest","Successful user creation","ERROR","2022-08-11T19:01:49.15-05:00[America/Bogota]","0.0","6.97"
"I as user of the UTest","Scenario","SUCCESS","2022-08-12T10:25:12.454-05:00[America/Bogota]","0.0","26.84"
